model,accuracy,log_loss,brier_score,roi
Logistic Regression,0.6390308957546121,0.6336229984147956,0.22202888384919064,0.05000000000000009
Neural Network,0.6356968215158925,0.633846283436612,0.22196653485298157,0.04999994859099388
Markov Model,0.6250277839519893,0.6477678968916826,0.22792735399301098,0.9490601254551779
Meta-Ensemble (LR+NN),0.6164703267392754,0.6557928945962214,0.23181984509903636,0.3125000192493993
